,country,date,individuals,centroid_lon,centroid_lat,lat_max,lon_max,lan_min,lon_min,source
44,Romania,02 August 2022,964874,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
45,Republic of Moldova,02 August 2022,557166,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
46,Poland,02 August 2022,5105850,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
47,Hungary,02 August 2022,1089277,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
48,Slovakia,02 August 2022,648512,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
49,Republic of Moldova,01 August 2022,555903,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
50,Belarus,02 August 2022,16683,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
51,Poland,01 August 2022,5084448,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
52,Russian Federation,01 August 2022,1952037,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
53,Hungary,01 August 2022,1082649,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
54,Romania,31 July 2022,953086,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
55,Slovakia,01 August 2022,645819,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
56,Republic of Moldova,31 July 2022,555318,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
57,Belarus,01 August 2022,16682,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
58,Poland,26 July 2022,4944264,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
59,Russian Federation,26 July 2022,1857122,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
60,Hungary,26 July 2022,1041762,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
61,Slovakia,26 July 2022,627555,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
62,Republic of Moldova,26 July 2022,549333,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
63,Belarus,26 July 2022,16680,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
64,Poland,25 July 2022,4923640,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
65,Russian Federation,24 July 2022,1826235,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
66,Hungary,25 July 2022,1035773,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
67,Romania,21 July 2022,890168,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
68,Slovakia,25 July 2022,625553,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
69,Republic of Moldova,25 July 2022,548030,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
70,Belarus,25 July 2022,16680,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
71,Russian Federation,19 July 2022,1745800,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
72,Republic of Moldova,19 July 2022,541323,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
73,Poland,19 July 2022,4787154,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
74,Russian Federation,18 July 2022,1728407,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
75,Hungary,19 July 2022,995637,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
76,Romania,18 July 2022,870241,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
77,Slovakia,19 July 2022,610201,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
78,Republic of Moldova,18 July 2022,539652,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
79,Belarus,19 July 2022,16677,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
80,Poland,12 July 2022,4627610,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
81,Poland,11 July 2022,4608154,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
82,Russian Federation,12 July 2022,1625231,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
83,Romania,12 July 2022,831957,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
84,Slovakia,12 July 2022,589147,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
85,Hungary,12 July 2022,949664,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
86,Republic of Moldova,12 July 2022,531869,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
87,Belarus,12 July 2022,16675,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
88,Romania,05 July 2022,786839,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
89,Poland,05 July 2022,4472349,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
90,Russian Federation,05 July 2022,1518394,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
91,Hungary,05 July 2022,905104,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
92,Romania,04 July 2022,781288,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
93,Slovakia,05 July 2022,569702,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
94,Republic of Moldova,05 July 2022,523707,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
95,Belarus,04 July 2022,16668,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
96,Poland,28 June 2022,4312612,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
97,Russian Federation,28 June 2022,1412429,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
98,Hungary,28 June 2022,860908,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
99,Romania,27 June 2022,736083,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
100,Slovakia,28 June 2022,548210,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
101,Republic of Moldova,28 June 2022,515432,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
102,Belarus,28 June 2022,16662,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
103,Poland,21 June 2022,4146144,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
104,Russian Federation,21 June 2022,1305018,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
105,Hungary,21 June 2022,814607,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
106,Romania,21 June 2022,691413,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
107,Slovakia,21 June 2022,525620,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
108,Republic of Moldova,21 June 2022,507552,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
109,Belarus,20 June 2022,16660,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
110,Poland,15 June 2022,4001921,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
111,Russian Federation,16 June 2022,1230800,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
112,Hungary,16 June 2022,782742,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
113,Romania,16 June 2022,659009,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
114,Slovakia,16 June 2022,510014,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
115,Republic of Moldova,16 June 2022,502716,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
116,Belarus,15 June 2022,16655,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
117,Russian Federation,13 June 2022,1188807,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
118,Belarus,14 June 2022,16654,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
119,Poland,13 June 2022,3954957,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
120,Hungary,13 June 2022,764216,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
121,Romania,13 June 2022,642159,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
122,Slovakia,13 June 2022,501335,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
123,Republic of Moldova,13 June 2022,498896,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
124,Belarus,13 June 2022,16654,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
125,Poland,09 June 2022,3864723,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
126,Russian Federation,09 June 2022,1136243,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
127,Hungary,09 June 2022,741504,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
128,Romania,09 June 2022,622929,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
129,Republic of Moldova,09 June 2022,494421,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
130,Slovakia,08 June 2022,487153,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
131,Belarus,08 June 2022,16650,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
132,Poland,07 June 2022,3817564,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
133,Russian Federation,07 June 2022,1116387,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
134,Hungary,07 June 2022,731098,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
135,Romania,07 June 2022,613435,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
136,Republic of Moldova,07 June 2022,491144,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
137,Slovakia,07 June 2022,484661,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
138,Belarus,07 June 2022,16650,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
139,Poland,01 June 2022,3690089,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,"UNHCR, Government"
140,Russian Federation,01 June 2022,1041095,38.15560781,51.48885014,55.99145645,40.35573304,51.72774216,34.81290446,"UNHCR, Government"
141,Hungary,01 June 2022,698420,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,"UNHCR, Government"
142,Romania,01 June 2022,587219,25.3,45.8667,52.8667,32.3,38.8667,18.3,"UNHCR, Government"
143,Republic of Moldova,01 June 2022,483306,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,"UNHCR, Government"
144,Slovakia,31 May 2022,466264,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,"UNHCR, Government"
145,Belarus,01 June 2022,16648,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,"UNHCR, Government"
146,Poland,29 May 2022,3627178,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
147,Hungary,29 May 2022,682594,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
148,Republic of Moldova,29 May 2022,479513,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
149,Slovakia,29 May 2022,461164,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
150,Belarus,29 May 2022,16552,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
151,Poland,27 May 2022,3581612,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
152,Hungary,27 May 2022,671463,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
153,Romania,27 May 2022,563569,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
154,Republic of Moldova,27 May 2022,477637,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
155,Slovakia,27 May 2022,454961,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
156,Poland,26 May 2022,3559394,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
157,Russian Federation,26 May 2022,971417,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
158,Hungary,26 May 2022,665533,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
159,Romania,26 May 2022,559378,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
160,Republic of Moldova,26 May 2022,476290,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
161,Slovakia,26 May 2022,451850,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
162,Belarus,26 May 2022,16549,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
163,Russian Federation,25 May 2022,958060,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
164,Hungary,25 May 2022,660192,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
165,Romania,25 May 2022,554906,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
166,Republic of Moldova,25 May 2022,475011,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
167,Slovakia,25 May 2022,449509,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
168,Belarus,25 May 2022,16547,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
169,Poland,24 May 2022,3544995,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
170,Russian Federation,24 May 2022,945007,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
171,Hungary,24 May 2022,654664,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
172,Romania,24 May 2022,550240,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
173,Republic of Moldova,24 May 2022,473690,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
174,Slovakia,24 May 2022,446755,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
175,Poland,23 May 2022,3524205,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
176,Russian Federation,23 May 2022,932220,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
177,Hungary,23 May 2022,649352,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
178,Romania,23 May 2022,545845,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
179,Republic of Moldova,23 May 2022,472377,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
180,Slovakia,23 May 2022,444368,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
181,Poland,22 May 2022,3505890,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
182,Russian Federation,22 May 2022,919934,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
183,Hungary,22 May 2022,644474,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
184,Romania,22 May 2022,541826,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
185,Republic of Moldova,22 May 2022,471223,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
186,Slovakia,22 May 2022,442316,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
187,Poland,20 May 2022,3463320,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
188,Hungary,20 May 2022,633219,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
189,Republic of Moldova,20 May 2022,468998,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
190,Slovakia,20 May 2022,435660,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
191,Poland,19 May 2022,3439857,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
192,Russian Federation,19 May 2022,887651,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
193,Hungary,19 May 2022,626548,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
194,Romania,19 May 2022,527853,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
195,Republic of Moldova,19 May 2022,467636,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
196,Slovakia,19 May 2022,432502,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
197,Poland,18 May 2022,3418077,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
198,Russian Federation,18 May 2022,875597,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
199,Hungary,18 May 2022,620846,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
200,Romania,18 May 2022,523177,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
201,Republic of Moldova,18 May 2022,466406,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
202,Slovakia,18 May 2022,429705,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
203,Russian Federation,17 May 2022,863086,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
204,Poland,17 May 2022,3396792,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
205,Hungary,17 May 2022,615256,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
206,Romania,17 May 2022,517773,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
207,Republic of Moldova,17 May 2022,465435,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
208,Slovakia,17 May 2022,426605,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
209,Poland,16 May 2022,3376992,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
210,Russian Federation,16 May 2022,850534,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
211,Hungary,16 May 2022,610076,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
212,Romania,16 May 2022,513613,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
213,Republic of Moldova,16 May 2022,464294,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
214,Slovakia,16 May 2022,424027,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
215,Poland,15 May 2022,3357984,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
216,Russian Federation,15 May 2022,838434,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
217,Hungary,15 May 2022,605628,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
218,Romania,15 May 2022,509457,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
219,Republic of Moldova,15 May 2022,463348,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
220,Slovakia,15 May 2022,421662,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
221,Poland,13 May 2022,3315711,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
222,Hungary,13 May 2022,594664,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
223,Republic of Moldova,13 May 2022,461742,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
224,Slovakia,13 May 2022,415402,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
225,Poland,12 May 2022,3294723,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
226,Russian Federation,12 May 2022,800104,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
227,Hungary,12 May 2022,588736,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
228,Romania,12 May 2022,496241,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
229,Republic of Moldova,12 May 2022,460782,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
230,Slovakia,12 May 2022,412345,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
231,Belarus,12 May 2022,27308,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
232,Poland,11 May 2022,3272943,19.4013,52.1224,55.46950578,26.4013,48.02154912,12.4013,0
233,Russian Federation,11 May 2022,785348,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
234,Hungary,11 May 2022,583066,19.4131,47.1672,54.1672,26.58888125,43.76006098,12.4131,0
235,Romania,11 May 2022,491967,25.3,45.8667,52.8667,32.3,38.8667,18.3,0
236,Republic of Moldova,11 May 2022,459546,28.4646,47.1976,49.01963843,31.68530313,45.04427345,25.06811563,0
237,Slovakia,11 May 2022,409527,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
238,Belarus,11 May 2022,27308,28.0463,53.5384,57.83893355,33.72794063,48.49689395,21.0463,0
239,Russian Federation,10 May 2022,772121,38.15560781,51.48885014,59.0670551,36.95829774,54.99876939,31.66952631,0
240,Slovakia,10 May 2022,406833,19.4864,48.7062,55.7062,26.4864,41.7062,12.4864,0
